round,global_loss,num_clients
1,0.7423363711681856,3
2,0.18521587038571297,3
3,0.13688667955445086,3
4,0.13145539906103285,3
5,0.10807327625886035,3
6,0.09702660406885759,3
7,0.10503544140660959,3
